G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
4154,도봉철기,iron-Knight, RPG, 텐센트, 텐센트, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0801_2402.jpg
4155,플래닛사이드 2,PlanetSide 2, FPS, 소니 온라인 엔터테인먼트, 소니 온라인 엔터테인먼트, PC온라인, 2014. 06. 18 OBT,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0219_4550.jpg
4156,크로노스,Cronous, RPG, 게임온스튜디오, 게임온스튜디오, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0214_4387.gif
4157,프로야구2K14,-, 스포츠, 넥슨, 넥슨, PC온라인,2013-04-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0324_3164.jpg
4158,신수 온라인,-, RPG, 팡스카이, 팡스카이," 모바일, 안드로이드",2014-05-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0623_6260.png
4159,여신연맹,-, RPG, 이엔피게임즈, 이엔피게임즈, PC온라인,2014-06-24,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0623_8275.jpg
4160,증기의 성,-, RPG, 녹스엔터테인먼트, -, PC온라인, -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0404_8139.gif
4161,노 맨즈 스카이,No Man's Sky, 어드벤쳐, 헬로 게임즈, 헬로 게임즈," PC온라인, PS4, Xbox One", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0623_7643.jpg
4162,제노니아 온라인,Zenonia Online, RPG, 컴투스홀딩스, 컴투스홀딩스," iOS, 모바일, 안드로이드",2013-12-04,0,https://static.inven.co.kr/column/webzine3/gamelogo/2013/1218_6947.jpg
4163,미검 온라인,-, RPG, 추콩, 추콩코리아," iOS, 모바일, 안드로이드",2013-10-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2014/0618_2079.jpg
