G_IDX,G_NAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM
10005,우당탕탕 대청소,액션,넥슨,넥슨,PC온라인
10006,건버드EX,슈팅,JUNEiNTER,JUNEiNTER,모바일
10007,엔젤 서바이벌 프로젝트,TCG,한빛소프트,게임엔젤,PC온라인
10008,카오스 에덴,RPG,코나미,유니아나,PC온라인
10009,베오울프 모바일,액션,게임로프트,게임로프트,모바일
10010,돈키호테,액션,박병용,박병용,PC온라인
10011,스페이스 헌터,RPG,마블러스 엔터테인먼트,마블러스 엔터테인먼트,PC온라인
10012,넷마블 윷놀이,보드,넷마블게임즈,넷마블게임즈,PC온라인
10013,심슨가족 (X360),기타,일렉트로닉아츠,일렉트로닉아츠,XBOX/ XBOX360
10014,앤트로피아 유니버스,기타,마인드 아크,마인드 아크,PC온라인
10015,카오틱에덴,RPG,코나미,유니아나,PC온라인
10016,삼국제왕전,RPG,지렉스,KCT 엔터테인먼트,PC온라인
10017,카운터 스트라이크 온라인,FPS,넥슨,넥슨,PC온라인
10018,허영만의 식객,기타,엠조이넷,엠조이넷,모바일
10019,마이트&매직2,RPG,게임로프트,게임로프트,모바일
10020,강철손의 낚시여행,액션,피엔제이,피엔제이,모바일
10021,지크 (SKT),RPG,세중게임즈,해피모바일,모바일
10022,제국의 여명 (KTF),시뮬레이션,게임로프트,게임로프트,모바일
10023,ROAR 온라인,슈팅,소울박스,플레이뱅크,PC온라인
10024,에스퍼 온라인,액션,하우,하우,PC온라인
10025,프로젝트 앨리스(가제),레이싱,엔트리브소프트,엔트리브소프트,PC온라인/ GBA
10026,구극병기 엘란,RPG,엑스플로 소프트,마이크로게임즈,PC온라인
8735,파이트 나이트 챔피언,스포츠,일렉트로닉아츠,일렉트로닉아츠,PS3/ XBOX360
8736,그레폴리스,시뮬레이션,이노게임스,경향플러스,웹브라우저
8737,양마을,시뮬레이션,동양온라인,NHN 엔터테인먼트,웹브라우저
8738,좀비 런어웨이,액션,컴투스,컴투스,iOS
8739,블렛스톰,슈팅,에픽게임즈,일렉트로닉아츠,PC패키지/ PS3/ XBOX360
8740,드림풋볼,스포츠,라메이트,-,웹브라우저
8741,소울게이트,RPG,컴투스,컴투스,모바일
8742,Chalk n’ Talk,기타,컴투스홀딩스,컴투스홀딩스,모바일
8743,초콜릿 타이쿤,RPG,컴투스,애플 앱스토어,iOS
8744,아쿠아랜드,시뮬레이션,인터세이브,애플 앱스토어,iOS
8745,스도쿠 더루프,퍼즐,인터세이브,애플 앱스토어,iOS
8746,플레이가든,RPG,이지모드,이지모드,웹브라우저
8747,풋볼라이프,RPG,-,동양온라인,웹브라우저
8748,영웅서기5,RPG,EA모바일,EA모바일,모바일
8749,아이돌마스터2,시뮬레이션,반다이남코 엔터테인먼트,인트라게임즈,XBOX360
8750,킬존3,FPS,소니 인터랙티브 엔터테인먼트 코리아,SONY,PS3
8751,펫팜,SNG,폴리큐브,폴리큐브,모바일/ 웹브라우저/ 안드로이드
8752,나이츠 컨트랙트,RPG,반다이남코 엔터테인먼트,인트라게임즈,PS3
8753,SD 건담 G 제네레이션 월드,RPG,반다이남코 엔터테인먼트,인트라게임즈,PSP
8754,EA프로야구 2011,RPG,EA모바일,EA모바일,모바일
8755,다이노싱어,RPG,넥슨 모바일,넥슨 모바일,모바일
8756,소드걸스,TCG,제오닉스,제오닉스,웹브라우저
8757,삼국지천하제패2,RPG,케이넷피,케이넷피,모바일
8758,판타지테일,RPG,겜블릭,겜블릭,모바일
8759,Crazy 윷놀이,보드,게임쿠커,페이스북,웹브라우저
8760,고고! 맞고,보드,크레이지피쉬,크레이지피쉬,웹브라우저
8761,마시마로디펜스,액션,그라비티,그라비티,iOS
8762,삐뽀사루 겟츄~!!™,액션,소니 온라인 엔터테인먼트,소니 온라인 엔터테인먼트,PS3
8763,홈런더비,기타,알파클라우드,알파클라우드,PC온라인
8764,놈5,액션,컴투스홀딩스,컴투스홀딩스,모바일
8765,레이싱매니저,시뮬레이션,리젠소프트,게임하마,웹브라우저
8766,워십 파이트덱잼HD,퍼즐,인터세이브,인터세이브,iOS
8767,TGO 프로젝트,스포츠,온네트,온네트,PC온라인
8768,마인드잭,액션,스퀘어에닉스,-,PS3/ XBOX360
8769,레그나온라인,RPG,네오썬,-,PC온라인
8770,삐요다마리: 이트 업,RPG,-,그라비티,모바일
8771,와일드 프론티어2,액션,KTH,KTH,모바일
8772,H2,액션,다담게임,넷마블,PC온라인
8773,패션월드,기타,-,디브로스,웹브라우저
8774,마법천자문 DS 2 최후의 한자마법,기타,한국닌텐도,한국닌텐도,NDS
8775,파이널파이트: 더블임팩트,RPG,캡콤,캡콤,PS3
8302,천군,RTS,쿤룬,쿤룬코리아,웹브라우저
8303,파워레인저 와일드스피릿,RPG,옴니텔,옴니텔,모바일
8304,에너미스팟2,RPG,픽토소프트,-,모바일
8305,라스트체이서,RPG,케이넷피,케이넷피,모바일
8306,던전앤파이터 여거너,RPG,넥슨 모바일,넥슨 모바일,모바일
8307,마스터오브소드리로드,RPG,한게임,한게임,iOS
8308,이스케이프 더 에이프,RPG,컴투스,컴투스,iOS/ 모바일
8309,연희몽상,RPG,감마니아,감마니아,웹브라우저
8310,갤러그,RPG,반다이남코,반다이남코,모바일
8311,스플린터셀 클래식 트릴로지 HD,액션,UBI소프트,인트라게임즈,PS3
8312,재미있는 야구백서,기타,엔씨소프트,엔씨소프트,iOS
8313,2012 프로야구,스포츠,컴투스홀딩스,컴투스홀딩스,iOS/ 모바일
8314,지옥의 군단,RTS,스퀘어에닉스,스퀘어에닉스,PSVITA
8315,슈팅데몬,액션,-,-,iOS
8316,모두의마블,보드,넷마블,-,PC온라인
8317,검은방4,RPG,EA모바일,-,iOS
8318,레아시스,RPG,레아,-,웹브라우저
8319,맥스 페인 3,RPG,락스타 게임즈,-,PC패키지/ PS3/ XBOX360
8320,F.E.A.R.: ORIGIN 온라인,FPS,인플레이 인터렉티브,-,PC온라인
8321,스파이마우스,RPG,Firemint,일렉트로닉아츠,iOS
8322,드림드롭스,RPG,감마니아,-,PC온라인
8323,코어블레이즈,RPG,감마니아,-,PC온라인
8324,GemPang,퍼즐,비트플러스,비트플러스,iOS
8325,NBA 2K12,스포츠,2K Sports,인플레이 인터렉티브,PC패키지/ PS3/ XBOX360
8326,불패 온라인,RPG,라이브플렉스,라이브플렉스,PC온라인
8327,디제이맥스 테크니카,RPG,펜타비전,-,PSVITA
8328,Baseball Superstars: The League,SNG,컴투스홀딩스,-,PC온라인
8329,데드라이징2:오프더레코드,RPG,캡콤,캡콤,PC패키지/ PS3/ XBOX360
8330,인피니티 크로니클,RPG,젤리오아시스,-,PC온라인
8331,몬스터 헌터 3G,RPG,캡콤,캡콤,3DS
8332,런앤히트,스포츠,NHN 엔터테인먼트,-,iOS/ 모바일
8333,DJ MAX 테크니카3,리듬액션,펜타비전,-,기타
8334,모두의 골프 5,스포츠,-,SONY,PS3
8335,드래곤퀘스트 X,RPG,스퀘어에닉스,스퀘어에닉스,Wii/ WiiU
8336,골든랜드,RPG,자이언트,엔씨소프트,PC온라인
8337,어드벤쳐 월드,SNG,징가,징가,웹브라우저
8338,화이트 아일랜드,RPG,넷마블,넷마블,iOS
8339,원피스 해적무쌍,RPG,코에이테크모,-,PS3
8340,레이튼교수와 악마의 상자,RPG,-,한국닌텐도,NDS
8341,명품 온라인,RPG,킹소프트,IMI,PC온라인
8342,소울소드,시뮬레이션,블루션소프트,블루션소프트,웹브라우저
8343,웹고RPG,RPG,블랙스톤,블랙스톤,웹브라우저
8344,엠파이어&보트,슈팅,제페토,제페토,iOS
9175,PLANB,액션,스튜디오플렌비,스튜디오플렌비,PC온라인
9176,진,RPG,게임아지트,게임아지트,PC온라인
9177,프로야구 스피리츠 2010,RPG,코나미,코나미,PS3/ PSP
9178,저스트 코즈 2,액션,아란발체 소프트웨어,인트라게임즈,PS3/ XBOX360
9179,Baseball Superstars 2010,스포츠,컴투스홀딩스,컴투스홀딩스,iOS
